edge_id,source_id,target_id,relationship_type,confidence,source_locator,notes
spine_edge_0001,spine_stage_e12,spine_dom_e12_01,contains,high,수학과 교육과정(별책8) p.9 이하 내용 체계,
spine_edge_0002,spine_stage_e12,spine_dom_e12_02,contains,high,수학과 교육과정(별책8) p.9 이하 내용 체계,
spine_edge_0003,spine_stage_e12,spine_dom_e12_03,contains,high,수학과 교육과정(별책8) p.9 이하 내용 체계,
spine_edge_0004,spine_stage_e12,spine_dom_e12_04,contains,high,수학과 교육과정(별책8) p.9 이하 내용 체계,
spine_edge_0005,spine_stage_e34,spine_dom_e34_01,contains,high,수학과 교육과정(별책8) p.9 이하 내용 체계,
spine_edge_0006,spine_stage_e34,spine_dom_e34_02,contains,high,수학과 교육과정(별책8) p.9 이하 내용 체계,
spine_edge_0007,spine_stage_e34,spine_dom_e34_03,contains,high,수학과 교육과정(별책8) p.9 이하 내용 체계,
spine_edge_0008,spine_stage_e34,spine_dom_e34_04,contains,high,수학과 교육과정(별책8) p.9 이하 내용 체계,
spine_edge_0009,spine_stage_e56,spine_dom_e56_01,contains,high,수학과 교육과정(별책8) p.9 이하 내용 체계,
spine_edge_0010,spine_stage_e56,spine_dom_e56_02,contains,high,수학과 교육과정(별책8) p.9 이하 내용 체계,
spine_edge_0011,spine_stage_e56,spine_dom_e56_03,contains,high,수학과 교육과정(별책8) p.9 이하 내용 체계,
spine_edge_0012,spine_stage_e56,spine_dom_e56_04,contains,high,수학과 교육과정(별책8) p.9 이하 내용 체계,
spine_edge_0013,spine_stage_m13,spine_dom_m13_01,contains,high,수학과 교육과정(별책8) p.9 이하 내용 체계,
spine_edge_0014,spine_stage_m13,spine_dom_m13_02,contains,high,수학과 교육과정(별책8) p.9 이하 내용 체계,
spine_edge_0015,spine_stage_m13,spine_dom_m13_03,contains,high,수학과 교육과정(별책8) p.9 이하 내용 체계,
spine_edge_0016,spine_stage_m13,spine_dom_m13_04,contains,high,수학과 교육과정(별책8) p.9 이하 내용 체계,
spine_edge_0017,spine_dom_e12_01,spine_std_e12_01_01,contains,high,수학과 교육과정(별책8) p.17,
spine_edge_0018,spine_dom_e12_01,spine_std_e12_01_02,contains,high,수학과 교육과정(별책8) p.17,
spine_edge_0019,spine_dom_e12_01,spine_std_e12_01_03,contains,high,수학과 교육과정(별책8) p.17,
spine_edge_0020,spine_dom_e12_01,spine_std_e12_01_04,contains,high,수학과 교육과정(별책8) p.17,
spine_edge_0021,spine_dom_e12_01,spine_std_e12_01_05,contains,high,수학과 교육과정(별책8) p.17,
