node_id,node_type,label_ko,school_level,grade_band,course_type,domain,subject_label,achievement_code,statement,source_locator,confidence,notes
spine_stage_e12,school_stage,초등학교 1~2학년 수학,초등학교,초1-2,공통 교육과정,,수학,,,수학과 교육과정(별책8) p.17 이하,high,
spine_dom_e12_01,stage_domain,초1-2 수와 연산,초등학교,초1-2,공통 교육과정,수와 연산,수학,,,수학과 교육과정(별책8) p.17 이하,high,
spine_dom_e12_02,stage_domain,초1-2 변화와 관계,초등학교,초1-2,공통 교육과정,변화와 관계,수학,,,수학과 교육과정(별책8) p.17 이하,high,
spine_dom_e12_03,stage_domain,초1-2 도형과 측정,초등학교,초1-2,공통 교육과정,도형과 측정,수학,,,수학과 교육과정(별책8) p.17 이하,high,
spine_dom_e12_04,stage_domain,초1-2 자료와 가능성,초등학교,초1-2,공통 교육과정,자료와 가능성,수학,,,수학과 교육과정(별책8) p.17 이하,high,
spine_stage_e34,school_stage,초등학교 3~4학년 수학,초등학교,초3-4,공통 교육과정,,수학,,,수학과 교육과정(별책8) p.23 이하,high,
spine_dom_e34_01,stage_domain,초3-4 수와 연산,초등학교,초3-4,공통 교육과정,수와 연산,수학,,,수학과 교육과정(별책8) p.23 이하,high,
spine_dom_e34_02,stage_domain,초3-4 변화와 관계,초등학교,초3-4,공통 교육과정,변화와 관계,수학,,,수학과 교육과정(별책8) p.23 이하,high,
spine_dom_e34_03,stage_domain,초3-4 도형과 측정,초등학교,초3-4,공통 교육과정,도형과 측정,수학,,,수학과 교육과정(별책8) p.23 이하,high,
spine_dom_e34_04,stage_domain,초3-4 자료와 가능성,초등학교,초3-4,공통 교육과정,자료와 가능성,수학,,,수학과 교육과정(별책8) p.23 이하,high,
spine_stage_e56,school_stage,초등학교 5~6학년 수학,초등학교,초5-6,공통 교육과정,,수학,,,수학과 교육과정(별책8) p.31 이하,high,
spine_dom_e56_01,stage_domain,초5-6 수와 연산,초등학교,초5-6,공통 교육과정,수와 연산,수학,,,수학과 교육과정(별책8) p.31 이하,high,
spine_dom_e56_02,stage_domain,초5-6 변화와 관계,초등학교,초5-6,공통 교육과정,변화와 관계,수학,,,수학과 교육과정(별책8) p.31 이하,high,
spine_dom_e56_03,stage_domain,초5-6 도형과 측정,초등학교,초5-6,공통 교육과정,도형과 측정,수학,,,수학과 교육과정(별책8) p.31 이하,high,
spine_dom_e56_04,stage_domain,초5-6 자료와 가능성,초등학교,초5-6,공통 교육과정,자료와 가능성,수학,,,수학과 교육과정(별책8) p.31 이하,high,
spine_stage_m13,school_stage,중학교 1~3학년 수학,중학교,중1-3,공통 교육과정,,수학,,,수학과 교육과정(별책8) p.39 이하,high,
spine_dom_m13_01,stage_domain,중1-3 수와 연산,중학교,중1-3,공통 교육과정,수와 연산,수학,,,수학과 교육과정(별책8) p.39 이하,high,
spine_dom_m13_02,stage_domain,중1-3 변화와 관계,중학교,중1-3,공통 교육과정,변화와 관계,수학,,,수학과 교육과정(별책8) p.39 이하,high,
spine_dom_m13_03,stage_domain,중1-3 도형과 측정,중학교,중1-3,공통 교육과정,도형과 측정,수학,,,수학과 교육과정(별책8) p.39 이하,high,
spine_dom_m13_04,stage_domain,중1-3 자료와 가능성,중학교,중1-3,공통 교육과정,자료와 가능성,수학,,,수학과 교육과정(별책8) p.39 이하,high,
spine_subj_gongsu1,hs_subject,공통수학1,고등학교,고1,공통 과목,,공통수학1,,,수학과 교육과정(별책8) p.66 이하,high,
spine_area_gongsu1_01,hs_subject_area,공통수학1 · 다항식,고등학교,고1,공통 과목,다항식,공통수학1,,,수학과 교육과정(별책8) p.66 이하,high,
spine_area_gongsu1_02,hs_subject_area,공통수학1 · 방정식과 부등식,고등학교,고1,공통 과목,방정식과 부등식,공통수학1,,,수학과 교육과정(별책8) p.67 이하,high,
spine_area_gongsu1_03,hs_subject_area,공통수학1 · 경우의 수,고등학교,고1,공통 과목,경우의 수,공통수학1,,,수학과 교육과정(별책8) p.68 이하,high,
spine_area_gongsu1_04,hs_subject_area,공통수학1 · 행렬,고등학교,고1,공통 과목,행렬,공통수학1,,,수학과 교육과정(별책8) p.69 이하,high,
spine_subj_gongsu2,hs_subject,공통수학2,고등학교,고1,공통 과목,,공통수학2,,,수학과 교육과정(별책8) p.71 이하,high,
spine_area_gongsu2_01,hs_subject_area,공통수학2 · 도형의 방정식,고등학교,고1,공통 과목,도형의 방정식,공통수학2,,,수학과 교육과정(별책8) p.71 이하,high,
spine_area_gongsu2_02,hs_subject_area,공통수학2 · 집합과 명제,고등학교,고1,공통 과목,집합과 명제,공통수학2,,,수학과 교육과정(별책8) p.72 이하,high,
spine_area_gongsu2_03,hs_subject_area,공통수학2 · 함수와 그래프,고등학교,고1,공통 과목,함수와 그래프,공통수학2,,,수학과 교육과정(별책8) p.73 이하,high,
spine_subj_gisu1,hs_subject,기본수학1,고등학교,고1,공통 과목,,기본수학1,,,수학과 교육과정(별책8) p.85 이하,high,
spine_area_gisu1_01,hs_subject_area,기본수학1 · 다항식,고등학교,고1,공통 과목,다항식,기본수학1,,,수학과 교육과정(별책8) p.85 이하,high,
spine_area_gisu1_02,hs_subject_area,기본수학1 · 방정식과 부등식,고등학교,고1,공통 과목,방정식과 부등식,기본수학1,,,수학과 교육과정(별책8) p.86 이하,high,
spine_area_gisu1_03,hs_subject_area,기본수학1 · 경우의 수,고등학교,고1,공통 과목,경우의 수,기본수학1,,,수학과 교육과정(별책8) p.87 이하,high,
spine_area_gisu1_04,hs_subject_area,기본수학1 · 행렬,고등학교,고1,공통 과목,행렬,기본수학1,,,수학과 교육과정(별책8) p.88 이하,high,
spine_subj_gisu2,hs_subject,기본수학2,고등학교,고1,공통 과목,,기본수학2,,,수학과 교육과정(별책8) p.90 이하,high,
spine_area_gisu2_01,hs_subject_area,기본수학2 · 도형의 방정식,고등학교,고1,공통 과목,도형의 방정식,기본수학2,,,수학과 교육과정(별책8) p.90 이하,high,
spine_area_gisu2_02,hs_subject_area,기본수학2 · 집합과 명제,고등학교,고1,공통 과목,집합과 명제,기본수학2,,,수학과 교육과정(별책8) p.91 이하,high,
spine_area_gisu2_03,hs_subject_area,기본수학2 · 함수와 그래프,고등학교,고1,공통 과목,함수와 그래프,기본수학2,,,수학과 교육과정(별책8) p.92 이하,high,
