term,domain,source_locator,coverage_status,concept_count,concept_ids,concept_labels,notes
소수,수와 연산,2022 수학과 교육과정 중학교 수와 연산 용어·기호 목록,covered,1,m1_num_prime_number,소수,
합성수,수와 연산,2022 수학과 교육과정 중학교 수와 연산 용어·기호 목록,covered,1,m1_num_composite_number,합성수,
거듭제곱,수와 연산,2022 수학과 교육과정 중학교 수와 연산 용어·기호 목록,covered,1,m1_calc_power,거듭제곱,
지수,수와 연산,2022 수학과 교육과정 중학교 수와 연산 용어·기호 목록,covered,1,m1_calc_exponent,지수,
밑,수와 연산,2022 수학과 교육과정 중학교 수와 연산 용어·기호 목록,covered,1,m1_calc_base,밑,
소인수,수와 연산,2022 수학과 교육과정 중학교 수와 연산 용어·기호 목록,covered,1,m1_num_prime_factor,소인수,
소인수분해,수와 연산,2022 수학과 교육과정 중학교 수와 연산 용어·기호 목록,covered,2,m1_num_prime_factor_unit; m1_num_prime_factorization,소인수분해; 소인수분해,
서로소,수와 연산,2022 수학과 교육과정 중학교 수와 연산 용어·기호 목록,covered,1,m1_num_coprime,서로소,
양수,수와 연산,2022 수학과 교육과정 중학교 수와 연산 용어·기호 목록,covered,1,m1_num_positive_number,양수,
음수,수와 연산,2022 수학과 교육과정 중학교 수와 연산 용어·기호 목록,covered,1,m1_num_negative_number,음수,
양의 정수,수와 연산,2022 수학과 교육과정 중학교 수와 연산 용어·기호 목록,covered,1,m1_num_positive_integer,양의 정수,
음의 정수,수와 연산,2022 수학과 교육과정 중학교 수와 연산 용어·기호 목록,covered,1,m1_num_negative_integer,음의 정수,
정수,수와 연산,2022 수학과 교육과정 중학교 수와 연산 용어·기호 목록,covered,1,m1_num_integer,정수,
수직선,수와 연산,2022 수학과 교육과정 중학교 수와 연산 용어·기호 목록,covered,2,m1_coord_number_line; m1_num_number_line,수직선; 수직선,
양의 유리수,수와 연산,2022 수학과 교육과정 중학교 수와 연산 용어·기호 목록,covered,1,m1_num_positive_rational,양의 유리수,
음의 유리수,수와 연산,2022 수학과 교육과정 중학교 수와 연산 용어·기호 목록,covered,1,m1_num_negative_rational,음의 유리수,
유리수,수와 연산,2022 수학과 교육과정 중학교 수와 연산 용어·기호 목록,covered,1,m1_num_rational_number,유리수,
절댓값,수와 연산,2022 수학과 교육과정 중학교 수와 연산 용어·기호 목록,covered,1,m1_num_absolute_value,절댓값,
교환법칙,수와 연산,2022 수학과 교육과정 중학교 수와 연산 용어·기호 목록,covered,1,m1_num_commutative_law,교환법칙,
결합법칙,수와 연산,2022 수학과 교육과정 중학교 수와 연산 용어·기호 목록,covered,1,m1_num_associative_law,결합법칙,
분배법칙,수와 연산,2022 수학과 교육과정 중학교 수와 연산 용어·기호 목록,covered,1,m1_num_distributive_law,분배법칙,
역수,수와 연산,2022 수학과 교육과정 중학교 수와 연산 용어·기호 목록,covered,1,m1_num_reciprocal,역수,
유한소수,수와 연산,2022 수학과 교육과정 중학교 수와 연산 용어·기호 목록,covered,1,m1_num_finite_decimal,유한소수,
무한소수,수와 연산,2022 수학과 교육과정 중학교 수와 연산 용어·기호 목록,covered,1,m1_num_infinite_decimal,무한소수,
순환소수,수와 연산,2022 수학과 교육과정 중학교 수와 연산 용어·기호 목록,covered,1,m1_num_repeating_decimal,순환소수,
