record_kind,source_id,evidence_kind,source_ref_count,record_count,high_confidence_record_count,medium_confidence_record_count,low_confidence_record_count,missing_locator_count,missing_summary_count
concept,achievement_math_2022,achievement_level,453,414,304,54,56,0,0
concept,achievement_math_2022,assessment_item,6,6,0,5,1,0,0
concept,curriculum_math_2022,achievement_standard,424,335,275,29,31,0,0
concept,curriculum_math_2022,instructional_term_list,20,20,7,10,3,0,0
concept,curriculum_math_2022,teaching_note,155,150,96,26,28,0,0
concept,curriculum_math_2022,term_list,181,181,155,13,13,0,0
edge,achievement_math_2022,achievement_level,1187,1116,798,186,132,0,0
edge,achievement_math_2022,assessment_item,26,26,0,21,5,0,0
edge,curriculum_math_2022,achievement_standard,1038,911,720,107,84,0,0
edge,curriculum_math_2022,instructional_term_list,34,34,9,22,3,0,0
edge,curriculum_math_2022,teaching_note,350,340,206,73,61,0,0
edge,curriculum_math_2022,term_list,424,424,360,32,32,0,0
