grade,domain,unit,concept_count,high_confidence_count,medium_confidence_count,low_confidence_count,core_concept_count,sub_concept_count,representation_count,procedure_count,property_count,term_count,misconception_risk_count,achievement_codes,internal_edge_count,incoming_edge_count,outgoing_edge_count
중1(교육과정 학년군: 중1-3),수와 연산,공통 선수개념,1,0,0,1,0,0,0,0,0,1,0,9수02-07; 9수03-12; 9수03-13; 9수03-14; 9수03-16; 9수03-17; 9수04-03; 9수04-05; 9수04-06,0,2,11
중1(교육과정 학년군: 중1-3),수와 연산,소인수분해,32,17,11,4,1,3,1,13,2,9,3,9수01-01; 9수01-02,126,10,1
중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,41,21,15,5,3,0,2,14,8,11,3,9수01-03; 9수01-04; 9수01-05; 9수01-06,152,6,52
중1(교육과정 학년군: 중1-3),변화와 관계,문자의 사용과 식,24,17,4,3,3,2,1,6,2,7,3,9수02-01; 9수02-02; 9수02-03,74,13,81
중1(교육과정 학년군: 중1-3),변화와 관계,식의 계산,30,12,14,4,1,0,0,15,7,3,4,9수01-05; 9수02-08; 9수02-09; 9수02-10,98,44,23
중1(교육과정 학년군: 중1-3),변화와 관계,연립일차방정식,13,10,0,3,3,0,0,5,0,2,3,9수02-13,35,14,14
중1(교육과정 학년군: 중1-3),변화와 관계,일차방정식,31,15,13,3,3,2,0,12,3,8,3,9수02-03; 9수02-04,109,30,21
중1(교육과정 학년군: 중1-3),변화와 관계,일차부등식,11,9,0,2,3,0,0,4,1,1,2,9수02-11; 9수02-12,32,12,5
중1(교육과정 학년군: 중1-3),변화와 관계,일차함수와 그 그래프,33,19,3,11,3,2,5,6,3,7,7,9수02-14; 9수02-15; 9수02-16,123,21,21
중1(교육과정 학년군: 중1-3),변화와 관계,일차함수와 일차방정식의 관계,9,6,2,1,1,0,1,2,3,1,1,9수02-17; 9수02-18,24,16,3
중1(교육과정 학년군: 중1-3),변화와 관계,좌표평면과 그래프,43,27,7,9,3,8,6,4,4,13,5,9수02-01; 9수02-05; 9수02-06; 9수02-07,162,30,45
중1(교육과정 학년군: 중1-3),도형과 측정,기본 도형,34,26,3,5,2,1,1,4,4,20,2,9수03-01; 9수03-02,161,4,47
중1(교육과정 학년군: 중1-3),도형과 측정,입체도형의 성질,29,12,13,4,3,3,3,9,1,7,3,9수03-05; 9수03-07; 9수03-08,104,18,1
중1(교육과정 학년군: 중1-3),도형과 측정,작도와 합동,8,8,0,0,2,0,0,3,1,2,0,9수03-03; 9수03-04,21,13,10
중1(교육과정 학년군: 중1-3),도형과 측정,평면도형의 성질,16,13,2,1,3,0,0,1,3,8,1,9수03-05; 9수03-06; 9수03-07; 9수03-18; 9수03-19,56,27,20
중1(교육과정 학년군: 중1-3),자료와 가능성,대푯값,7,5,1,1,2,0,0,1,0,3,1,9수04-01,25,9,8
중1(교육과정 학년군: 중1-3),자료와 가능성,도수분포표와 상대도수,33,24,5,4,4,0,5,14,1,6,3,9수04-02; 9수04-03; 9수04-04; 9수04-07; 9수04-08; 9수04-09,132,29,19
중1(교육과정 학년군: 중1-3),자료와 가능성,자료와 가능성,2,2,0,0,1,0,0,0,0,1,0,9수04-02; 9수04-03; 9수04-04; 9수04-07,1,2,14
중2(교육과정 학년군: 중1-3),수와 연산,유리수와 순환소수,10,8,1,1,1,0,1,2,1,4,1,9수01-06,30,13,4
중2(교육과정 학년군: 중1-3),도형과 측정,도형의 닮음,11,8,2,1,3,0,0,2,3,2,1,9수03-04; 9수03-12; 9수03-13; 9수03-14,32,18,9
중2(교육과정 학년군: 중1-3),도형과 측정,삼각형과 사각형의 성질,16,13,1,2,6,0,0,2,3,3,2,9수03-09; 9수03-10; 9수03-11; 9수03-12; 9수03-13; 9수03-14,46,23,13
중2(교육과정 학년군: 중1-3),도형과 측정,피타고라스 정리,6,5,1,0,2,0,0,2,2,0,0,9수03-09; 9수03-11; 9수03-15; 9수03-16; 9수03-17,15,11,3
중2(교육과정 학년군: 중1-3),자료와 가능성,경우의 수와 확률,26,5,15,6,4,11,0,4,3,1,3,9수04-05; 9수04-06,102,9,1
중3(교육과정 학년군: 중1-3),수와 연산,제곱근과 실수,25,17,5,3,4,0,3,10,2,3,3,9수01-06; 9수01-07; 9수01-08; 9수01-09; 9수01-10,92,18,11
중3(교육과정 학년군: 중1-3),변화와 관계,다항식의 곱셈과 인수분해,20,14,2,4,1,1,0,3,8,3,4,9수02-19,78,19,20
중3(교육과정 학년군: 중1-3),변화와 관계,이차방정식,22,11,6,5,2,1,2,7,2,5,3,9수02-19; 9수02-20,73,25,5
